"region","year","sales","type"
"Mexico2","2008",484719,"cv"
"Mexico2","2009",336631,"cv"
"Mexico2","2010",344606,"cv"
"Mexico2","2011",344679,"cv"
"Mexico2","2012",375241,"cv"
"Mexico2","2013",402325,"cv"
"Mexico2","2014",431055,"cv"
"Mexico2","2015",497280,"cv"
"Mexico2","2016",581811,"cv"
"Mexico2","2017",546236,"cv"
"Mexico2","2018",538415,"cv"
"Mexico2","2019",597951,"cv"
"Nafta","2005",9221429,"pc"
"Nafta","2005",11021550,"cv"
"Nafta","2006",9301364,"pc"
"Nafta","2006",10597660,"cv"
"Nafta","2007",9045313,"pc"
"Nafta","2007",10256166,"cv"
"Nafta","2008",8230872,"pc"
"Nafta","2008",8009579,"cv"
"Nafta","2009",6569033,"pc"
"Nafta","2009",6290318,"cv"
"Nafta","2010",6833529,"pc"
"Nafta","2010",7370432,"cv"
"Nafta","2011",7363460,"pc"
"Nafta","2011",8234154,"cv"
"Nafta","2012",8639763,"pc"
"Nafta","2012",8886925,"cv"
"Nafta","2013",9039173,"pc"
"Nafta","2013",9725335,"cv"
"Nafta","2014",9194809,"pc"
"Nafta","2014",10715347,"cv"
"Nafta","2015",9121342,"pc"
"Nafta","2015",12053273,"cv"
"Nafta","2016",8599729,"pc"
"Nafta","2016",12897512,"cv"
"Nafta","2017",7704315,"pc"
"Nafta","2017",14169953,"cv"
"Nafta","2018",6752475,"pc"
"Nafta","2018",15152399,"cv"
"Nafta","2019",5973328,"pc"
"Nafta","2019",14842202,"cv"
"Russia, Turkey & Other Europe","2005",2284420,"pc"
"Russia, Turkey & Other Europe","2005",592870,"cv"
"Russia, Turkey & Other Europe","2006",2724418,"pc"
"Russia, Turkey & Other Europe","2006",622932,"cv"
"Russia, Turkey & Other Europe","2007",3471314,"pc"
"Russia, Turkey & Other Europe","2007",665197,"cv"
"Russia, Turkey & Other Europe","2008",3909719,"pc"
"Russia, Turkey & Other Europe","2008",576805,"cv"
"Russia, Turkey & Other Europe","2009",2075646,"pc"
"Russia, Turkey & Other Europe","2009",342992,"cv"
"Russia, Turkey & Other Europe","2010",2669169,"pc"
"Russia, Turkey & Other Europe","2010",474429,"cv"
"Russia, Turkey & Other Europe","2011",3524941,"pc"
"Russia, Turkey & Other Europe","2011",550641,"cv"
"Russia, Turkey & Other Europe","2012",3623366,"pc"
"Russia, Turkey & Other Europe","2012",681481,"cv"
"Russia, Turkey & Other Europe","2013",3597858,"pc"
"Russia, Turkey & Other Europe","2013",609510,"cv"
"Russia, Turkey & Other Europe","2014",3092818,"pc"
"Russia, Turkey & Other Europe","2014",499471,"cv"
"Russia, Turkey & Other Europe","2015",2122682,"pc"
"Russia, Turkey & Other Europe","2015",459026,"cv"
"Russia, Turkey & Other Europe","2016",2131580,"pc"
"Russia, Turkey & Other Europe","2016",434800,"cv"
"Russia, Turkey & Other Europe","2017",2342998,"pc"
"Russia, Turkey & Other Europe","2017",490183,"cv"
"Russia, Turkey & Other Europe","2018",2273193,"pc"
"Russia, Turkey & Other Europe","2018",396169,"cv"
"Russia, Turkey & Other Europe","2019",2152825,"pc"
"Russia, Turkey & Other Europe","2019",343895,"cv"
